Zona,Distritos,Latitude,Longitude
Central,Barra Funda,-23.527390,-46.659511
Central,Bela Vista,-23.559208,-46.644889
Central,Bom Retiro,-23.523983,-46.639989
Central,Brás,-23.542579,-46.615690
Central,Consolação,-23.553108,-46.655249
Central,Liberdade,-23.560158,-46.633797
Central,Pari,-23.526545,-46.612096
Central,República,-23.544179,-46.642094
Central,Santa Cecília,-23.537624,-46.658359
Central,Sé,-23.551838,-46.631878
Norte,Casa Verde,-23.510781,-46.657040
Norte,Jaçanã,-23.454800,-46.584348
Norte,Mandaqui,-23.482340,-46.626335
Norte,Santana,-23.498110,-46.627154
Norte,Tremembé,-23.466155,-46.623718
Norte,Tucuruvi,-23.474090,-46.610875
Norte,Vila Guilherme,-23.515104,-46.605855
Norte,Vila Maria,-23.518677,-46.587086
Norte,Vila Medeiros,-23.488993,-46.584877
Zona Leste,Água Rasa,-23.553247,-46.581247
Zona Leste,Aricanduva,-23.570024,-46.517456
Zona Leste,Artur Alvim,-23.547574,-46.472089
Zona Leste,Belém,-23.538605,-46.601298
Zona Leste,Cangaiba,-23.506681,-46.528241
Zona Leste,Carrão,-23.552703,-46.534440
Zona Leste,Cidade Líder,-23.558178,-46.474502
Zona Leste,Cidade Tiradentes,-23.603378,-46.399830
Zona Leste,Ermelino Matarazzo,-23.469271,-46.473753
Zona Leste,Guaianazes,-23.573448,-46.409093
Zona Leste,Iguatemi,-23.570281,-46.415422
Zona Leste,Itaim Paulista,-23.502067,-46.394372
Zona Leste,Itaquera,-23.532841,-46.455650
Zona Leste,Jardim Helena,-23.480585,-46.421282
Zona Leste,José Bonifácio,-23.565593,-46.434010
Zona Leste,Lajeado,-23.531272, -46.416016
Zona Leste,Moóca,-23.558527,-46.601510
Zona Leste,Parque do Carmo,-23.581799,-46.468342
Zona Leste,Penha,-23.525945,-46.545279
Zona Leste,Ponte Rasa,-23.509626,-46.495189
Zona Leste,Sapopemba,-23.575005,-46.524006
Zona Leste,São Lucas,-23.587815,-46.539887
Zona Leste,São Mateus,-23.610099,-46.465504
Zona Leste,São Miguel,-23.492955,-46.437492
Zona Leste,São Rafael,-23.629564,-46.460256
Zona Leste,Tatuapé,-23.534455,-46.575198
Zona Leste,Vila Curuçá,-23.509394,-46.416703
Zona Leste,Vila Formosa,-23.568213,-46.541834
Zona Leste,Vila Jacui,-23.501615,-46.453323
Zona Leste,Vila Matilde,-23.538751,-46.526315
Zona Leste,Vila Prudente,-23.580249,-46.581755
Zona Sul,Cambuci,-23.565422,-46.620869
Zona Sul,Campo Belo,-23.621181,-46.671636
Zona Sul,Campo Grande,-23.678049,-46.687194
Zona Sul,Campo Limpo,-23.634871,-46.754983
Zona Sul,Capão Redondo,-23.668703,-46.769895
Zona Sul,Cidade Ademar,-23.670451,-46.657403
Zona Sul,Cidade Dutra,-23.712366,-46.701878
Zona Sul,Cursino,-23.602962,-46.625661
Zona Sul,Grajaú,-23.773206,-46.673018
Zona Sul,Ipiranga,-23.586719,-46.603874
Zona Sul,Itaim Bibi,-23.585256,-46.680142
Zona Sul,Jabaquara,-23.636113,-46.645912
Zona Sul,Jardim Ângela,-23.702914,-46.769231
Zona Sul,Jardim Paulista,-23.574373,-46.661531
Zona Sul,Jardim São Luis,-23.651178,-46.733357
Zona Sul,Marsilac,-23.932552,-46.713589
Zona Sul,Moema,-23.601964,-46.672135
Zona Sul,Morumbi,-23.598260,-46.719940
Zona Sul,Parelheiros,-23.834266,-46.718086
Zona Sul,Pedreira,-23.681685,-46.663714
Zona Sul,Sacomã,-23.613853,-46.597802
Zona Sul,Santo Amaro,-23.650468,-46.702058
Zona Sul,Saúde,-23.616768,-46.635553
Zona Sul,Socorro,-23.672743,-46.712271
Zona Sul,Vila Andrade,-23.634166,-46.710889
Zona Sul,Vila Mariana,-23.585684,-46.639052
Zona Sul,Vila Sônia,-23.594884,-46.731903
Zona Oeste,Alto de Pinheiros,-23.551485,-46.712664
Zona Oeste,Anhanguera,-23.441381,-46.789869
Zona Oeste,Brasilândia,-23.469278,-46.689468
Zona Oeste,Butantã,-23.561678,-46.723720
Zona Oeste,Cachoeirinha,-23.468096,-46.677661
Zona Oeste,Freguesia do Ó,-23.503232,-46.697536
Zona Oeste,Jaguará,-23.510302,-46.747137
Zona Oeste,Jaguaré,-23.542628,-46.746854
Zona Oeste,Jaraguá,-23.461689,-46.742746
Zona Oeste,Lapa,-23.522261,-46.711422
Zona Oeste,Limão,-23.496538,-46.676493
Zona Oeste,Perdizes,-23.536818,-46.674604
Zona Oeste,Perus,-23.409321,-46.756264
Zona Oeste,Pinheiros,-23.563146,-46.686941
Zona Oeste,Pirituba,-23.479457,-46.742787
Zona Oeste,Raposo Tavares,-23.572332,-46.764208
Zona Oeste,Rio Pequeno,-23.566471,-46.756018
Zona Oeste,São Domingos,-23.495241,-46.748221
Zona Oeste,Vila Leopoldina,-23.532895,-46.735126
